"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"d:\Documentos\Códigos\GAH-Sys\backend\package-lock.json", "JSON", 0, 0, 0, 1437, 0, 1, 1438
"d:\Documentos\Códigos\GAH-Sys\backend\package.json", "JSON", 0, 0, 0, 22, 0, 1, 23
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\AtendimentoController.js", "JavaScript", 103, 0, 0, 0, 6, 13, 122
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\AuthController.js", "JavaScript", 47, 0, 0, 0, 3, 12, 62
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\ConfiguracaoController.js", "JavaScript", 38, 0, 0, 0, 5, 14, 57
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\EspecialidadeController.js", "JavaScript", 102, 0, 0, 0, 6, 27, 135
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\EventoController.js", "JavaScript", 128, 0, 0, 0, 8, 28, 164
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\FuncionarioController.js", "JavaScript", 167, 0, 0, 0, 8, 42, 217
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\HospedeController.js", "JavaScript", 150, 0, 0, 0, 7, 33, 190
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\QuartoController.js", "JavaScript", 102, 0, 0, 0, 7, 22, 131
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\ServicoController.js", "JavaScript", 98, 0, 0, 0, 7, 20, 125
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\TerapeutaController.js", "JavaScript", 325, 0, 0, 0, 7, 62, 394
"d:\Documentos\Códigos\GAH-Sys\backend\src\Controllers\TipoQuartoController.js", "JavaScript", 110, 0, 0, 0, 7, 20, 137
"d:\Documentos\Códigos\GAH-Sys\backend\src\index.js", "JavaScript", 22, 0, 0, 0, 8, 7, 37
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Atendimento.js", "JavaScript", 34, 0, 0, 0, 0, 3, 37
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Configuracao.js", "JavaScript", 25, 0, 0, 0, 0, 3, 28
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Conta.js", "JavaScript", 33, 0, 0, 0, 0, 2, 35
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Especialidade.js", "JavaScript", 17, 0, 0, 0, 0, 2, 19
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Evento.js", "JavaScript", 35, 0, 0, 0, 0, 3, 38
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Funcionario.js", "JavaScript", 38, 0, 0, 0, 0, 2, 40
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Hospede.js", "JavaScript", 33, 0, 0, 0, 0, 3, 36
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Quarto.js", "JavaScript", 21, 0, 0, 0, 0, 3, 24
"d:\Documentos\Códigos\GAH-Sys\backend\src\models\Servico.js", "JavaScript", 29, 0, 0, 0, 0, 3, 32
